"segment","exchange","shortCode","symbol","token","scripId","strikePrice","expiry","lotSize","tickSize","instrumentType","optionType","isTBApproved","marginPercentage","volumeFreezeQty","quantityMultiplier","numerator","denominator","isMTFApproved","mtfMargin","nseAsmgsm","bseAsmgsm","nseSurvIndCode","isBKTAllowed","scripName"
"COMM","MCX","MXCOM","GOLD 27JAN2025 CE 62900.00",428761,585212,"62900.00",20250127,1,"0.50","OPTFUT","CE","","","","","100.0000","1.0000",false,"","","","",false,""
"COMM","MCX","MXCOM","GOLD 27JAN2025 PE 62900.00",428762,585213,"62900.00",20250127,1,"0.50","OPTFUT","PE","","","","","100.0000","1.0000",false,"","","","",false,""
"COMM","MCX","MXCOM","GOLD 27JAN2025 CE 62800.00",428763,585214,"62800.00",20250127,1,"0.50","OPTFUT","CE","","","","","100.0000","1.0000",false,"","","","",false,""
"COMM","MCX","MXCOM","GOLD 27JAN2025 CE 62700.00",428764,585215,"62700.00",20250127,1,"0.50","OPTFUT","CE","","","","","100.0000","1.0000",false,"","","","",false,""
"COMM","MCX","MXCOM","GOLD 27JAN2025 CE 62600.00",428765,585216,"62600.00",20250127,1,"0.50","OPTFUT","CE","","","","","100.0000","1.0000",false,"","","","",false,""
"COMM","MCX","MXCOM","GOLD 27JAN2025 CE 62500.00",428766,585217,"62500.00",20250127,1,"0.50","OPTFUT","CE","","","","","100.0000","1.0000",false,"","","","",false,""
"COMM","MCX","MXCOM","GOLD 27JAN2025 CE 62400.00",428767,585218,"62400.00",20250127,1,"0.50","OPTFUT","CE","","","","","100.0000","1.0000",false,"","","","",false,""
"COMM","MCX","MXCOM","GOLD 27JAN2025 CE 62300.00",428768,585219,"62300.00",20250127,1,"0.50","OPTFUT","CE","","","","","100.0000","1.0000",false,"","","","",false,""
"COMM","MCX","MXCOM","GOLD 27JAN2025 CE 62200.00",428769,585220,"62200.00",20250127,1,"0.50","OPTFUT","CE","","","","","100.0000","1.0000",false,"","","","",false,""
"COMM","MCX","MXCOM","GOLD 27JAN2025 CE 62100.00",428770,585221,"62100.00",20250127,1,"0.50","OPTFUT","CE","","","","","100.0000","1.0000",false,"","","","",false,""
"COMM","MCX","MXCOM","GOLD 27JAN2025 CE 62000.00",428771,585222,"62000.00",20250127,1,"0.50","OPTFUT","CE","","","","","100.0000","1.0000",false,"","","","",false,""
"COMM","MCX","MXCOM","GOLD 27JAN2025 CE 61900.00",428772,585223,"61900.00",20250127,1,"0.50","OPTFUT","CE","","","","","100.0000","1.0000",false,"","","","",false,""
"COMM","MCX","MXCOM","GOLD 27JAN2025 CE 61800.00",428773,585224,"61800.00",20250127,1,"0.50","OPTFUT","CE","","","","","100.0000","1.0000",false,"","","","",false,""
"COMM","MCX","MXCOM","GOLD 27JAN2025 CE 61700.00",428774,585225,"61700.00",20250127,1,"0.50","OPTFUT","CE","","","","","100.0000","1.0000",false,"","","","",false,""
"COMM","MCX","MXCOM","GOLD 27JAN2025 CE 61600.00",428775,585226,"61600.00",20250127,1,"0.50","OPTFUT","CE","","","","","100.0000","1.0000",false,"","","","",false,""
"COMM","MCX","MXCOM","GOLD 27JAN2025 CE 61500.00",428776,585227,"61500.00",20250127,1,"0.50","OPTFUT","CE","","","","","100.0000","1.0000",false,"","","","",false,""
"COMM","MCX","MXCOM","GOLD 27JAN2025 CE 61400.00",428777,585228,"61400.00",20250127,1,"0.50","OPTFUT","CE","","","","","100.0000","1.0000",false,"","","","",false,""
"COMM","MCX","MXCOM","GOLD 27JAN2025 CE 61300.00",428778,585229,"61300.00",20250127,1,"0.50","OPTFUT","CE","","","","","100.0000","1.0000",false,"","","","",false,""
"COMM","MCX","MXCOM","GOLD 27JAN2025 CE 61200.00",428779,585230,"61200.00",20250127,1,"0.50","OPTFUT","CE","","","","","100.0000","1.0000",false,"","","","",false,""
"COMM","MCX","MXCOM","GOLD 27JAN2025 CE 61100.00",428780,585231,"61100.00",20250127,1,"0.50","OPTFUT","CE","","","","","100.0000","1.0000",false,"","","","",false,""
"COMM","MCX","MXCOM","GOLD 27JAN2025 CE 61000.00",428781,585232,"61000.00",20250127,1,"0.50","OPTFUT","CE","","","","","100.0000","1.0000",false,"","","","",false,""
"COMM","MCX","MXCOM","GOLD 27JAN2025 CE 60900.00",428782,585233,"60900.00",20250127,1,"0.50","OPTFUT","CE","","","","","100.0000","1.0000",false,"","","","",false,""
"COMM","MCX","MXCOM","GOLD 27JAN2025 CE 60800.00",428783,585234,"60800.00",20250127,1,"0.50","OPTFUT","CE","","","","","100.0000","1.0000",false,"","","","",false,""
"COMM","MCX","MXCOM","GOLD 27JAN2025 CE 60700.00",428784,585235,"60700.00",20250127,1,"0.50","OPTFUT","CE","","","","","100.0000","1.0000",false,"","","","",false,""
"COMM","MCX","MXCOM","GOLD 27JAN2025 CE 60600.00",428785,585236,"60600.00",20250127,1,"0.50","OPTFUT","CE","","","","","100.0000","1.0000",false,"","","","",false,""
"COMM","MCX","MXCOM","GOLD 27JAN2025 CE 60500.00",428786,585237,"60500.00",20250127,1,"0.50","OPTFUT","CE","","","","","100.0000","1.0000",false,"","","","",false,""
"COMM","MCX","MXCOM","GOLD 27JAN2025 CE 60400.00",428787,585238,"60400.00",20250127,1,"0.50","OPTFUT","CE","","","","","100.0000","1.0000",false,"","","","",false,""
"COMM","MCX","MXCOM","GOLD 27JAN2025 CE 63000.00",428788,585239,"63000.00",20250127,1,"0.50","OPTFUT","CE","","","","","100.0000","1.0000",false,"","","","",false,""
"COMM","MCX","MXCOM","GOLD 27JAN2025 CE 63100.00",428789,585240,"63100.00",20250127,1,"0.50","OPTFUT","CE","","","","","100.0000","1.0000",false,"","","","",false,""
"COMM","MCX","MXCOM","GOLD 27JAN2025 CE 63200.00",428790,585241,"63200.00",20250127,1,"0.50","OPTFUT","CE","","","","","100.0000","1.0000",false,"","","","",false,""
"COMM","MCX","MXCOM","GOLD 27JAN2025 CE 63300.00",428791,585242,"63300.00",20250127,1,"0.50","OPTFUT","CE","","","","","100.0000","1.0000",false,"","","","",false,""
"COMM","MCX","MXCOM","GOLD 27JAN2025 CE 63400.00",428792,585243,"63400.00",20250127,1,"0.50","OPTFUT","CE","","","","","100.0000","1.0000",false,"","","","",false,""
"COMM","MCX","MXCOM","GOLD 27JAN2025 CE 63500.00",428793,585244,"63500.00",20250127,1,"0.50","OPTFUT","CE","","","","","100.0000","1.0000",false,"","","","",false,""
"COMM","MCX","MXCOM","GOLD 27JAN2025 CE 63600.00",428794,585245,"63600.00",20250127,1,"0.50","OPTFUT","CE","","","","","100.0000","1.0000",false,"","","","",false,""
